COUNT,RARITY,METATOON STUDIOS CHARACTER,BACKGROUND NAME,BACKGROUND COLOR,SKIN,SKIN COLOR NAME,BODY,BODY COLOR NAME,FACE,FACE COLOR NAME,FRECKLES,WHISKERS,TEETH,TEETH COLOR NAME,TONGUE,TONGUE COLOR,EYES,EYE COLOR NAME,TRAIT 1,TRAIT 1 - COLOR 1,TRAIT 1 - COLOR 2,TRAIT 2,TRAIT 2 - COLOR 1,TRAIT 2 - COLOR 2,TRAIT 3,TRAIT 3 - COLOR 1,TRAIT 3 - COLOR 2,TRAIT 4,TRAIT 4 - COLOR 1,TRAIT 4 - COLOR 2,PROP
418,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,POW RED,LAUGHING,PEACH COBBLER,YES,YES,WOLF FANGS,DARK WHITE,OG,LEMONADE,TOON EYES,ROYAL BLUE,CONDEMNED,DARK WHITE,NA,BLOWIN STEAM,JUNGLE MINT,NA,NA,NA,NA,NA,NA,NA,NA
419,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,POW RED,LAUGHING,PEACH COBBLER,YES,YES,WOLF FANGS,DARK WHITE,OG,JUNGLE MINT,XX,TUXEDO BLACK,KA BOOM,FIAT YELLOW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
420,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,POW RED,ANGRY,PEACH COBBLER,YES,YES,WOLF FANGS,DARK WHITE,OG,VICE BLUE,TOON EYES,VICE BLUE,MIND BLOWN,BONE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
421,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,POW RED,ANGRY,CAPPUCCINO,YES,YES,WOLF FANGS,DARK WHITE,OG,FIAT YELLOW,TOON EYES,POW RED,BLOWIN STEAM,ROYAL BLUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
422,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,POW RED,LAUGHING,CAPPUCCINO,YES,YES,WOLF FANGS,DARK WHITE,OG,LEMONADE,LOONY EYES,POW RED,SEEING STARS,ROYAL BLUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
423,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,POW RED,ANGRY,SUNNY BROWN,YES,YES,WOLF FANGS,DARK WHITE,OG,LEMONADE,PAYDAY,ROYAL BLUE,10 GALLON,SLEEPY GREY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
424,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,POW RED,LAUGHING,SUNNY BROWN,YES,YES,WOLF FANGS,DARK WHITE,OG,JUNGLE MINT,EXHILARATION,BILLIE GREEN,CONDEMNED,DARK WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
425,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,POW RED,HOWLING,PERUVIAN BLEND,YES,YES,WOLF FANGS,DARK WHITE,NA,NA,HADES LENS,PERUVIAN ROAST,SALVATION,HONEYCOMB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
426,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,COCO BROWN,LAUGHING,IVORY,YES,YES,WOLF FANGS,DARK WHITE,OG,JUNGLE MINT,?,?,10 GALLON,DARK WHITE,NA,LAST WORDS,HONEYCOMB,NA,NA,NA,NA,NA,NA,NA,NA
427,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,COCO BROWN,LAUGHING,PEACH COBBLER,YES,YES,WOLF FANGS,DARK WHITE,OG,PASTEL PINK ,XX,TUXEDO BLACK,LAST WORDS,ROYAL BLUE,NA,SCENE OF THE CRIME,LEMONADE,NA,NA,NA,NA,NA,NA,NA,NA
428,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,COCO BROWN,LAUGHING,PEACH COBBLER,YES,YES,WOLF FANGS,DARK WHITE,OG,JUNGLE MINT,EXHILARATION,JUNGLE MINT,KA BOOM,JUNGLE MINT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
429,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,COCO BROWN,LAUGHING,PEACH COBBLER,YES,YES,WOLF FANGS,DARK WHITE,OG,FIAT YELLOW,INFATUATION,PASTEL PINK ,BLOWIN STEAM,ROYAL BLUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
430,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,COCO BROWN,LAUGHING,CAPPUCCINO,YES,YES,WOLF FANGS,DARK WHITE,OG,PASTEL PINK ,EXHILARATION,VICE BLUE,MIND BLOWN,SLEEPY GREY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
431,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,COCO BROWN,LAUGHING,CAPPUCCINO,YES,YES,WOLF FANGS,DARK WHITE,OG,JUNGLE MINT,XX,TUXEDO BLACK,SEEING STARS,PASTEL PINK ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
432,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,COCO BROWN,LAUGHING,LUSH BROWN,YES,YES,WOLF FANGS,DARK WHITE,OG,PASTEL PINK ,INFATUATION,JUNGLE MINT,10 GALLON,PASTEL PINK ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
433,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,COCO BROWN,LAUGHING,LUSH BROWN,YES,YES,WOLF FANGS,DARK WHITE,OG,HELL RED,TOON EYES,ROYAL BLUE,CUPIDS BOW,HELL RED,DARK WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
434,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,COCO BROWN,ANGRY,PERUVIAN BLEND,YES,YES,WOLF FANGS,DARK WHITE,OG,PASTEL PINK ,PAYDAY,PASTEL PINK ,CONDEMNED,DARK WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
435,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,COCO BROWN,ANGRY,PERUVIAN BLEND,YES,YES,WOLF FANGS,DARK WHITE,OG,ROYAL BLUE,PAYDAY,ROYAL BLUE,SALVATION,DARK WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
436,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,TOON GREY,LAUGHING,PEACH COBBLER,YES,YES,WOLF FANGS,DARK WHITE,OG,LEMONADE,?,?,LAST WORDS,ROYAL BLUE,NA,SCENE OF THE CRIME,PASTEL PINK ,NA,NA,NA,NA,NA,NA,NA,NA
437,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,TOON GREY,LAUGHING,PEACH COBBLER,YES,YES,WOLF FANGS,DARK WHITE,OG,LEMONADE,HADES LENS,BLISS BROWN,STICK EM UP,POW RED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
438,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,TOON GREY,LAUGHING,PEACH COBBLER,YES,YES,WOLF FANGS,DARK WHITE,OG,POW RED,EXHILARATION,FIAT YELLOW,KA BOOM,ROYAL BLUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
439,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,TOON GREY,LAUGHING,PEACH COBBLER,YES,YES,WOLF FANGS,DARK WHITE,OG,PASTEL PINK ,EXHILARATION,ROYAL BLUE,BLOWIN STEAM,PASTEL PINK ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
440,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,TOON GREY,LAUGHING,PEACH COBBLER,YES,YES,WOLF FANGS,DARK WHITE,OG,JUNGLE MINT,INFATUATION,PASTEL PINK ,BLOWIN STEAM,ROYAL BLUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
441,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,TOON GREY,LAUGHING,PEACH COBBLER,YES,YES,WOLF FANGS,DARK WHITE,OG,JUNGLE MINT,XX,TUXEDO BLACK,MIND BLOWN,JUNGLE MINT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
442,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,TOON GREY,LAUGHING,PEACH COBBLER,YES,YES,WOLF FANGS,DARK WHITE,OG,POW RED,PAYDAY,FIAT YELLOW,MIND BLOWN,BONE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
443,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,TOON GREY,ANGRY,PEACH COBBLER,YES,YES,WOLF FANGS,DARK WHITE,OG,POW RED,TOON EYES,POW RED,SEEING STARS,FIAT YELLOW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
444,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,TOON GREY,ANGRY,PEACH COBBLER,YES,YES,WOLF FANGS,DARK WHITE,OG,TAMARINDO,INFATUATION,BONE,SEEING STARS,HONEYCOMB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
445,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,TOON GREY,HOWLING,PEACH COBBLER,YES,YES,WOLF FANGS,DARK WHITE,NA,NA,XX,TUXEDO BLACK,THUMPED,FIAT YELLOW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
446,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,TOON GREY,LAUGHING,CAPPUCCINO,YES,YES,WOLF FANGS,DARK WHITE,OG,POW RED,PAYDAY,PASTEL PINK ,THUMPED,LEMONADE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
447,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,TOON GREY,LAUGHING,CAPPUCCINO,YES,YES,WOLF FANGS,DARK WHITE,OG,ROYAL BLUE,SOULESS,MORNING BLEND,10 GALLON,BONE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
448,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,TOON GREY,LAUGHING,CAPPUCCINO,YES,YES,WOLF FANGS,DARK WHITE,OG,PASTEL PINK ,XX,TUXEDO BLACK,CUPIDS BOW,PASTEL PINK ,DARK WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
449,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,TOON GREY,LAUGHING,CAPPUCCINO,YES,YES,WOLF FANGS,DARK WHITE,OG,JUNGLE MINT,LOONY EYES,JUNGLE MINT,CUPIDS BOW,JUNGLE MINT,DARK WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
450,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,TOON GREY,LAUGHING,CAPPUCCINO,YES,YES,WOLF FANGS,DARK WHITE,OG,HELL RED,INFATUATION,SLEEPY GREY,ARTEMIS'S BOW,TUXEDO BLACK,DARK WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
451,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,TOON GREY,LAUGHING,LUSH BROWN,YES,YES,WOLF FANGS,DARK WHITE,OG,HONEYCOMB,PABLO'S WEB,JUST BROWM,ARTEMIS'S BOW,HONEYCOMB,DARK WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
452,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,TOON GREY,LAUGHING,LUSH BROWN,YES,YES,WOLF FANGS,DARK WHITE,OG,BRIORANGE,EXHILARATION,BRIORANGE,ARTEMIS'S BOW,BRIORANGE,DARK WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
453,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,TOON GREY,ANGRY,LUSH BROWN,YES,YES,WOLF FANGS,DARK WHITE,OG,PASTEL PINK ,?,?,LAST WORDS,JUNGLE MINT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
454,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,TOON GREY,HOWLING,LUSH BROWN,YES,YES,WOLF FANGS,DARK WHITE,NA,NA,PABLO'S WEB,MORNING BLEND,CONDEMNED,DARK WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
455,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,TOON GREY,LAUGHING,PERUVIAN BLEND,YES,YES,WOLF FANGS,DARK WHITE,OG,HELL RED,XX,TUXEDO BLACK,SALVATION,ROYAL BLUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
456,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,TOON GREY,LAUGHING,PERUVIAN BLEND,YES,YES,WOLF FANGS,DARK WHITE,OG,FIAT YELLOW,PAYDAY,FIAT YELLOW,SALVATION,FIAT YELLOW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
457,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,TOON GREY,ANGRY,PERUVIAN BLEND,YES,YES,WOLF FANGS,DARK WHITE,OG,PASTEL PINK ,PAYDAY,JUNGLE MINT,SCENE OF THE CRIME,JUNGLE MINT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
458,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,TOON GREY,HOWLING,PERUVIAN BLEND,YES,YES,WOLF FANGS,DARK WHITE,NA,NA,SOULESS,PERUVIAN ROAST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
459,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,SUMMER GREY,LAUGHING,PEACH COBBLER,YES,YES,WOLF FANGS,DARK WHITE,OG,PASTEL PINK ,EXHILARATION,JUNGLE MINT,CONDEMNED,DARK WHITE,NA,BLOWIN STEAM,PASTEL PINK ,NA,NA,NA,NA,NA,NA,NA,NA
460,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,SUMMER GREY,LAUGHING,PEACH COBBLER,YES,YES,WOLF FANGS,DARK WHITE,OG,KILLER PINK,TOON EYES,DARK WHITE,STICK EM UP,DARK WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
461,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,SUMMER GREY,LAUGHING,PEACH COBBLER,YES,YES,WOLF FANGS,DARK WHITE,OG,CHAMPION PURPLE,EXHILARATION,FIAT YELLOW,KA BOOM,CHAMPION PURPLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
462,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,SUMMER GREY,LAUGHING,PEACH COBBLER,YES,YES,WOLF FANGS,DARK WHITE,OG,POW RED,HADES LENS,INNER VOID,KA BOOM,JUNGLE MINT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
463,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,SUMMER GREY,LAUGHING,PEACH COBBLER,YES,YES,WOLF FANGS,DARK WHITE,OG,ROYAL BLUE,LOONY EYES,SLEEPY GREY,BLOWIN STEAM,FIAT YELLOW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
464,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,SUMMER GREY,LAUGHING,PEACH COBBLER,YES,YES,WOLF FANGS,DARK WHITE,OG,LEMONADE,INFATUATION,PASTEL PINK ,MIND BLOWN,LEMONADE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
465,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,SUMMER GREY,LAUGHING,PEACH COBBLER,YES,YES,WOLF FANGS,DARK WHITE,OG,KILLER PINK,PAYDAY,BILLIE GREEN,MIND BLOWN,DARK WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
466,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,SUMMER GREY,LAUGHING,PEACH COBBLER,YES,YES,WOLF FANGS,DARK WHITE,OG,PASTEL PINK ,XX,TUXEDO BLACK,SEEING STARS,JUNGLE MINT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
467,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,SUMMER GREY,ANGRY,PEACH COBBLER,YES,YES,WOLF FANGS,DARK WHITE,OG,JUNGLE MINT,XX,TUXEDO BLACK,SEEING STARS,LEMONADE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
468,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,SUMMER GREY,ANGRY,PEACH COBBLER,YES,YES,WOLF FANGS,DARK WHITE,OG,HELL RED,TOON EYES,HELL RED,SEEING STARS,HONEYCOMB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
469,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,SUMMER GREY,ANGRY,PEACH COBBLER,YES,YES,WOLF FANGS,DARK WHITE,OG,KILLER PINK,PAYDAY,ROYAL BLUE,THUMPED,FIAT YELLOW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
470,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,SUMMER GREY,ANGRY,PEACH COBBLER,YES,YES,WOLF FANGS,DARK WHITE,OG,PASTEL PINK ,TOON EYES,VICE BLUE,THUMPED,PASTEL PINK ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
471,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,SUMMER GREY,HOWLING,PEACH COBBLER,YES,YES,WOLF FANGS,DARK WHITE,NA,NA,XX,TUXEDO BLACK,THUMPED,ROYAL BLUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
472,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,SUMMER GREY,LAUGHING,CAPPUCCINO,YES,YES,WOLF FANGS,DARK WHITE,OG,POW RED,HADES LENS,MORNING BLEND,10 GALLON,HONEYCOMB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
473,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,SUMMER GREY,LAUGHING,CAPPUCCINO,YES,YES,WOLF FANGS,DARK WHITE,OG,JUNGLE MINT,INFATUATION,LEMONADE,10 GALLON,JUNGLE MINT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
474,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,SUMMER GREY,LAUGHING,CAPPUCCINO,YES,YES,WOLF FANGS,DARK WHITE,OG,PASTEL PINK ,TOON EYES,PASTEL PINK ,CUPIDS BOW,PASTEL PINK ,DARK WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
475,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,SUMMER GREY,LAUGHING,CAPPUCCINO,YES,YES,WOLF FANGS,DARK WHITE,OG,ROYAL BLUE,TOON EYES,ROYAL BLUE,CUPIDS BOW,ROYAL BLUE,DARK WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
476,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,SUMMER GREY,LAUGHING,CAPPUCCINO,YES,YES,WOLF FANGS,DARK WHITE,OG,JUNGLE MINT,TOON EYES,JUNGLE MINT,CUPIDS BOW,JUNGLE MINT,DARK WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
477,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,SUMMER GREY,LAUGHING,LUSH BROWN,YES,YES,WOLF FANGS,DARK WHITE,OG,POW RED,XX,TUXEDO BLACK,ARTEMIS'S BOW,HONEYCOMB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
478,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,SUMMER GREY,LAUGHING,LUSH BROWN,YES,YES,WOLF FANGS,DARK WHITE,OG,POW RED,EXHILARATION,FIAT YELLOW,ARTEMIS'S BOW,VICE BLUE,DARK WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
479,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,SUMMER GREY,LAUGHING,LUSH BROWN,YES,YES,WOLF FANGS,DARK WHITE,OG,LEMONADE,PAYDAY,PASTEL PINK ,ARTEMIS'S BOW,LEMONADE,DARK WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
480,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,SUMMER GREY,LAUGHING,LUSH BROWN,YES,YES,WOLF FANGS,DARK WHITE,OG,CHAMPION PURPLE,SOULESS,JUST BROWM,ARTEMIS'S BOW,CHAMPION PURPLE,DARK WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
481,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,SUMMER GREY,ANGRY,LUSH BROWN,YES,YES,WOLF FANGS,DARK WHITE,OG,POW RED,?,?,LAST WORDS,FIAT YELLOW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
482,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,SUMMER GREY,ANGRY,LUSH BROWN,YES,YES,WOLF FANGS,DARK WHITE,OG,PASTEL PINK ,?,?,LAST WORDS,LEMONADE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
483,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,SUMMER GREY,HOWLING,LUSH BROWN,YES,YES,WOLF FANGS,DARK WHITE,NA,NA,HADES LENS,JUST BROWM,CONDEMNED,DARK WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
484,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,SUMMER GREY,LAUGHING,PERUVIAN BLEND,YES,YES,WOLF FANGS,DARK WHITE,OG,POW RED,EXHILARATION,ROYAL BLUE,SALVATION,HONEYCOMB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
485,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,SUMMER GREY,LAUGHING,PERUVIAN BLEND,YES,YES,WOLF FANGS,DARK WHITE,OG,PASTEL PINK ,INFATUATION,ROYAL BLUE,SALVATION,LEMONADE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
486,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,SUMMER GREY,LAUGHING,PERUVIAN BLEND,YES,YES,WOLF FANGS,DARK WHITE,OG,BRIORANGE,TOON EYES,FIAT YELLOW,SCENE OF THE CRIME,JUNGLE MINT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
487,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,SUMMER GREY,ANGRY,PERUVIAN BLEND,YES,YES,WOLF FANGS,DARK WHITE,OG,JUNGLE MINT,INFATUATION,PASTEL PINK ,SCENE OF THE CRIME,PASTEL PINK ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
488,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,SUMMER GREY,LAUGHING,PERUVIAN BLEND,YES,YES,WOLF FANGS,DARK WHITE,OG,HELL RED,XX,TUXEDO BLACK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
489,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,KETCHUP YELLOW,LAUGHING,IVORY,YES,YES,WOLF FANGS,DARK WHITE,OG,PASTEL PINK ,XX,TUXEDO BLACK,10 GALLON,TAMARINDO,NA,STICK EM UP,ROYAL BLUE,NA,NA,NA,NA,NA,NA,NA,NA
490,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,KETCHUP YELLOW,LAUGHING,IVORY,YES,YES,WOLF FANGS,DARK WHITE,OG,JUNGLE MINT,XX,TUXEDO BLACK,LAST WORDS,ROYAL BLUE,NA,SCENE OF THE CRIME,PASTEL PINK ,NA,NA,NA,NA,NA,NA,NA,NA
491,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,KETCHUP YELLOW,LAUGHING,IVORY,YES,YES,WOLF FANGS,DARK WHITE,OG,HONEYCOMB,HADES LENS,INNER VOID,STICK EM UP,POW RED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
492,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,KETCHUP YELLOW,LAUGHING,PEACH COBBLER,YES,YES,WOLF FANGS,DARK WHITE,OG,PASTEL PINK ,EXHILARATION,LEMONADE,KA BOOM,PASTEL PINK ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
493,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,KETCHUP YELLOW,LAUGHING,PEACH COBBLER,YES,YES,WOLF FANGS,DARK WHITE,OG,PASTEL PINK ,TOON EYES,PASTEL PINK ,KA BOOM,ROYAL BLUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
494,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,KETCHUP YELLOW,LAUGHING,PEACH COBBLER,YES,YES,WOLF FANGS,DARK WHITE,OG,PASTEL PINK ,PAYDAY,JUNGLE MINT,BLOWIN STEAM,SLEEPY GREY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
495,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,KETCHUP YELLOW,LAUGHING,PEACH COBBLER,YES,YES,WOLF FANGS,DARK WHITE,OG,JUNGLE MINT,XX,TUXEDO BLACK,BLOWIN STEAM,ROYAL BLUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
496,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,KETCHUP YELLOW,LAUGHING,PEACH COBBLER,YES,YES,WOLF FANGS,DARK WHITE,OG,PASTEL PINK ,EXHILARATION,ROYAL BLUE,MIND BLOWN,SLEEPY GREY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
497,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,KETCHUP YELLOW,ANGRY,PEACH COBBLER,YES,YES,WOLF FANGS,DARK WHITE,OG,POW RED,INFATUATION,POW RED,CONDEMNED,DARK WHITE,NA,MIND BLOWN,DARK WHITE,NA,NA,NA,NA,NA,NA,NA,NA
498,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,KETCHUP YELLOW,HOWLING,PEACH COBBLER,YES,YES,WOLF FANGS,DARK WHITE,NA,NA,PABLO'S WEB,BLISS BROWN,MIND BLOWN,DARK WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
499,GENISIS,LOUIS WOLF,GALLERY,Arctic White,NA,NA,TOON,KETCHUP YELLOW,LAUGHING,CAPPUCCINO,YES,YES,WOLF FANGS,DARK WHITE,OG,ROYAL BLUE,HADES LENS,MORNING BLEND,SEEING STARS,TUXEDO BLACK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
